,Port Code
0,4944
1,4944
2,3146
3,3679
4,3679
5,149
6,3679
7,3837
8,2283
9,4295
10,25477
11,25477
12,3772
13,3674
14,4038
15,1934
16,1934
17,17916
18,6756
19,6367
20,6367
21,3772
22,1934
23,4731
24,4731
25,4731
26,6367
27,6367
28,3674
29,6634
30,6634
31,6634
32,3275
33,2586
34,2586
35,1934
36,1934
37,4946
38,4731
39,4731
40,6367
41,6634
42,6634
43,2844
44,4933
45,2586
46,1934
47,4946
48,4946
49,4731
50,6634
51,3275
52,4933
53,4933
54,4933
55,4933
56,2586
57,2586
58,2586
59,1934
60,4030
61,4107
62,4731
63,6367
64,6367
65,6634
66,4933
67,4933
68,2586
69,44678
70,28251
71,4030
72,4107
73,4731
74,6634
75,6634
76,6634
77,4933
78,4933
79,2586
80,2586
81,4109
82,4109
83,44678
84,4030
85,6367
86,6367
87,6367
88,6634
89,4933
90,4933
91,4109
92,4109
93,4030
94,4030
95,6367
96,6367
97,4933
98,2586
99,2586
100,4618
101,4618
102,4109
103,44678
104,44678
105,4030
106,6367
107,3275
108,4933
109,4933
110,4933
111,4933
112,2586
113,2586
114,4109
115,4109
116,4109
117,44678
118,4030
119,6367
120,6367
121,4933
122,4933
123,4933
124,4933
125,4933
126,4933
127,4933
128,4933
129,2692
130,4520
131,2922
132,2922
133,2922
134,4109
135,44678
136,44678
137,4030
138,4030
139,4030
140,6367
141,6634
142,4933
143,4933
144,4933
145,4933
146,4933
147,4933
148,4933
149,2586
150,5541
151,2922
152,2922
153,2922
154,2922
155,2922
156,4109
157,44678
158,44678
159,44678
160,4030
161,4030
162,6367
163,4933
164,4933
165,4933
166,4933
167,4933
168,4933
169,4933
170,4933
171,2586
172,6928
173,6928
174,15231
175,2922
176,2922
177,2922
178,2922
179,2922
180,2922
181,4109
182,44678
183,44678
184,44678
185,4030
186,4030
187,4933
188,4933
189,4933
190,4933
191,4933
192,4933
193,4933
194,3552
195,2922
196,2922
197,2922
198,2922
199,2922
200,4109
201,44678
202,4030
203,6367
204,4933
205,4933
206,4933
207,4933
208,4933
209,4933
210,4933
211,4933
212,4933
213,3552
214,3552
215,3552
216,3552
217,15231
218,15231
219,2922
220,2922
221,2922
222,2922
223,2922
224,44678
225,44678
226,4030
227,4933
228,4933
229,4933
230,4933
231,4933
232,4933
233,4933
234,2705
235,3552
236,3552
237,3552
238,15231
239,15231
240,2922
241,2922
242,2922
243,2922
244,2922
245,44678
246,44678
247,4035
248,4035
249,4933
250,4933
251,4933
252,4933
253,6925
254,2705
255,2705
256,3552
257,3552
258,15231
259,15231
260,2922
261,2922
262,2922
263,2922
264,2922
265,2922
266,44678
267,4035
268,4035
269,4035
270,4035
271,4035
272,4035
273,4035
274,4035
275,2705
276,2705
277,2705
278,2705
279,3552
280,3552
281,15231
282,15231
283,2922
284,2922
285,2922
286,2922
287,2922
288,4035
289,4035
290,4035
291,4035
292,4035
293,4035
294,4035
295,4035
296,2624
297,2624
298,6925
299,2705
300,2705
301,2705
302,2705
303,2705
304,2705
305,3552
306,3552
307,15231
308,3687
309,3687
310,3687
311,3161
312,3161
313,4035
314,4035
315,4035
316,4035
317,4035
318,4035
319,4035
320,4035
321,4035
322,4035
323,2624
324,2624
325,2624
326,2705
327,2705
328,2705
329,2705
330,3797
331,3797
332,3797
333,3797
334,3161
335,4035
336,4035
337,4035
338,4035
339,4035
340,4035
341,4035
342,4035
343,4035
344,4035
345,4035
346,4035
347,4035
348,4035
349,3941
350,3941
351,2624
352,2778
353,2778
354,2705
355,3392
356,3797
357,3797
358,3797
359,3797
360,3687
361,3687
362,3687
363,3161
364,3161
365,3161
366,4035
367,4035
368,4035
369,4035
370,4035
371,4035
372,4035
373,4035
374,4035
375,4035
376,4035
377,4035
378,4035
379,4035
380,3941
381,3941
382,3941
383,2778
384,2778
385,2778
386,3392
387,3392
388,3797
389,3797
390,3797
391,3797
392,3797
393,3687
394,3687
395,3161
396,3161
397,3161
398,4035
399,4035
400,4035
401,4035
402,4035
403,4035
404,4035
405,4035
406,4035
407,4035
408,4035
409,4035
410,4035
411,4035
412,4035
413,4035
414,2639
415,2639
416,2778
417,2778
418,2778
419,3392
420,3797
421,3797
422,3797
423,3797
424,3797
425,3687
426,3687
427,3161
428,3161
429,3161
430,3161
431,3161
432,3161
433,4035
434,4035
435,4035
436,4035
437,4035
438,4035
439,4035
440,4035
441,4035
442,4035
443,4035
444,2639
445,2639
446,3651
447,2778
448,2778
449,3392
450,3392
451,3797
452,3797
453,3687
454,3687
455,3161
456,3161
457,3161
458,3161
459,3161
460,3161
461,4035
462,4035
463,4035
464,4035
465,4035
466,4035
467,4035
468,4035
469,4035
470,4035
471,4035
472,5925
473,5925
474,2639
475,3755
476,3651
477,3651
478,23402
479,2778
480,26427
481,3392
482,3392
483,3797
484,3797
485,3797
486,3687
487,3687
488,3161
489,3161
490,3161
491,3161
492,3161
493,3161
494,3161
495,3161
496,4035
497,4035
498,4035
499,4035
500,4035
501,4035
502,4035
503,4035
504,4035
505,4035
506,4035
507,4035
508,4035
509,3755
510,3651
511,3687
512,3687
513,3161
514,3161
515,3161
516,3161
517,3161
518,3161
519,3161
520,4035
521,4035
522,4035
523,4035
524,4035
525,4035
526,4035
527,4035
528,4035
529,4035
530,4035
531,4035
532,4035
533,4035
534,2648
535,23405
536,23405
537,2657
538,3161
539,3161
540,3161
541,3161
542,3161
543,3161
544,3161
545,3161
546,3161
547,4035
548,4035
549,4035
550,4035
551,4035
552,4035
553,4035
554,4035
555,4035
556,4035
557,4035
558,4035
559,7089
560,2648
561,3722
562,3161
563,3161
564,3161
565,3161
566,3595
567,3869
568,3869
569,3869
570,3658
571,4035
572,4035
573,4035
574,4035
575,4035
576,4035
577,4035
578,4035
579,4035
580,7089
581,7089
582,3595
583,3869
584,3869
585,3869
586,3869
587,3869
588,3658
589,3658
590,3658
591,4035
592,4035
593,4035
594,4035
595,4035
596,4035
597,5925
598,1991
599,4590
600,3998
601,3869
602,3869
603,3127
604,3127
605,3658
606,3658
607,3658
608,2775
609,4035
610,4035
611,4035
612,4035
613,4035
614,7089
615,4590
616,3998
617,14408
618,3127
619,3127
620,3127
621,3658
622,3658
623,3658
624,3658
625,3658
626,2775
627,4035
628,4035
629,4035
630,7087
631,7089
632,1991
633,2720
634,3918
635,6905
636,6905
637,3127
638,3127
639,3127
640,3127
641,3127
642,3127
643,3658
644,3658
645,3658
646,2775
647,2775
648,4035
649,4035
650,2635
651,6893
652,6893
653,2194
654,2194
655,3099
656,3127
657,3127
658,3127
659,3658
660,3658
661,3658
662,3658
663,3658
664,2775
665,2775
666,2868
667,2868
668,1991
669,2635
670,2783
671,6893
672,6893
673,2194
674,2194
675,5629
676,5629
677,2824
678,2824
679,3658
680,3658
681,3658
682,3658
683,3658
684,2775
685,2775
686,2868
687,4406
688,7093
689,4460
690,2824
691,2824
692,2824
693,3658
694,3658
695,3658
696,3658
697,2868
698,4406
699,1991
700,3783
701,2724
702,2824
703,2824
704,2824
705,2824
706,3446
707,3446
708,3446
709,3446
710,7093
711,1991
712,3920
713,3868
714,4984
715,3446
716,3446
717,3446
718,3446
719,3446
720,7048
721,7048
722,7079
723,4406
724,5591
725,5591
726,3920
727,3920
728,3868
729,4984
730,4984
731,4984
732,4984
733,4984
734,2817
