,trip_count,prev_port,next_port,distance,frequency
7682,1984063,4410,3658,460.63814769485793,1.0
7062,1948666,3658,7083,372.7538137212947,1.0
2712,1287366,7083,7084,26.578905957417856,1.0
7248,1950728,7084,2814,9.200891935648707,1.0
9021,2408140,2814,4035,345.51172611022815,1.0
1139,180264,4035,5925,0.19387225250579412,0.1
2549,1285548,4035,5925,22.968207075585767,0.9
1120,180248,5925,2814,904.6046218747017,0.12
2778,1287541,5925,2814,741.581619464836,0.88
4250,1527792,2814,3658,538.1886870194387,0.1
2903,1287638,2814,3658,392.5435858636255,0.9
7133,1950240,3658,2814,362.89314686199947,1.0
920,171238,2814,7084,8.815318114155033,0.02
2047,911867,2814,7084,8.76609791105515,0.02
3013,1288503,2814,7084,8.740930280918779,0.02
4330,1576244,2814,7084,10.241540919895703,0.02
4900,1605507,2814,7084,8.787272436326777,0.02
6842,1948207,2814,7084,10.684454724702523,0.02
7525,1960170,2814,7084,9.632382204804255,0.02
8021,2040891,2814,7084,8.748935451332352,0.02
9610,2779360,2814,7084,8.758971263559879,0.02
10112,2872427,2814,7084,8.820377956023306,0.02
6154,1881468,2814,7084,10.646163597749858,0.3
4728,1576825,2814,7084,23.92806788277592,0.5
2050,911939,7084,3892,251.67427515252783,1.0
6732,1907650,3925,6061,180.4751613345542,0.20930232558139536
4093,1527549,3925,6061,266.85717355270856,0.7906976744186046
4198,1527720,6061,3925,132.50422438321857,0.46875
4118,1527631,6061,3925,134.60531271873072,0.53125
6139,1881463,3892,4591,146.39521362622372,0.42
4019,1518927,3892,4591,51.674067823646105,0.58
6308,1907226,4591,7069,152.1273833701655,1.0
4068,1519352,7069,4591,159.03220414125636,1.0
4856,1604974,4591,7052,10.654446087546368,1.0
1986,737878,7052,3925,45.1440105989341,0.02
3961,1499718,7052,3925,43.33528792082402,0.02
2996,1288441,7052,3925,45.460080299719195,0.4
10262,2872823,7052,3925,45.6293971902162,0.56
8273,2041468,7069,2814,84.46031099147233,0.3333333333333333
8039,2040898,7069,2814,83.61796350114413,0.6666666666666666
1058,180230,3658,3658,16.634588585516855,1.0
9998,2872419,3658,7074,357.6987425196255,1.0
10223,2872551,7074,3658,361.55399489436496,1.0
3755,1423406,7074,7084,63.174467856992166,0.4583333333333333
4528,1576397,7074,7084,63.715094635607194,0.5416666666666666
6958,1948594,7084,3658,499.4546859567081,0.44
7240,1950689,7084,3658,377.35690028376695,0.56
6380,1907240,3658,7069,518.3189293862393,0.42857142857142855
1026,180132,3658,7069,358.77130736572593,0.5714285714285714
6250,1907140,7069,3658,462.02251913833004,0.2692307692307692
6478,1907248,7069,3658,378.43997878594257,0.7307692307692307
3820,1423419,3658,7081,317.876970755487,1.0
4488,1576352,7081,4591,210.04218678189477,1.0
4455,1576349,4591,7051,14.248220713084354,0.16
9933,2872394,4591,7051,14.155454438284707,0.84
