,PORT_NAME,INDEX_NO,coords
49159,Terminal Pesquero Cta. Quiane,,"((-70.31722387298942, -18.513597026467323),)"
49164,Oil Berth,,"((-61.86886473007713, 17.150384410999997),)"
16,Port of Basamuk,,"((146.14295817405977, -5.53913255687803),)"
26,Victoria,,"((-123.32715191091728, 48.402783083729446),)"
34,,,"((126.50786074843957, 36.333661512471735),)"
36,Ladysmith Harbour,,"((-123.7981702153305, 48.995376555249095),)"
80,Yura Ko,,"((134.9560471628005, 34.28896299563348),)"
104,Bristol City Docks,,"((-2.758243494577621, 51.491163074970245),)"
16494,4,,"((29.401222241448345, 60.03620322793722),)"
16495,5a,,"((29.370157135380527, 60.090993382036686),)"
16496,4A,,"((29.354682429661196, 60.01272128429264),)"
16502,1a,,"((29.979013534407343, 59.9363673850894),)"
16503,1b,,"((29.9532854126495, 59.91870562545955),)"
16513,18,,"((28.379575891161558, 60.539520755410194),)"
149,Port Alberni,,"((-125.00189345292245, 48.997310805134475),)"
159,Chemainus,,"((-123.59617659728646, 48.76106627751142),)"
165,MONTREAL,,"((-73.53272993264281, 45.48107736278325),)"
167,Yanwei Gang,,"((119.78650425273611, 34.474083026871085),)"
16553,452,,"((36.51019271920032, 45.30485094990581),)"
195,Novorosiis'k,,"((37.92359276241322, 44.58263733864895),)"
206,,,"((-70.46187450678713, -23.752744873054326),)"
16608,354,,"((30.878191614731925, 46.461394457146525),)"
226,SHINGU,61967.0,"((135.98211007433795, 33.67201162967831),)"
239,Hiro Ku,,"((132.60516251703473, 34.21489073429257),)"
241,,,"((131.9355403523245, 32.98812351655215),)"
246,,,"((130.1846118342561, 31.85632057953626),)"
254,Section 2,,"((135.1948148170717, 35.550017561763525),)"
16641,"Boston Harbor, MA Quincy Yacht Club Anchorage Area",,"((-70.94596870108, 42.271181526593864),)"
16653,"Orchard Point General Anchorage, Puget Sound",,"((-122.52252874697277, 47.54364798311144),)"
286,Hannan Port,,"((135.31110022775667, 34.421924371272326),)"
16689,F,,"((-6.869178505148739, 37.09832082968205),)"
353,Marmara Adasi Harbour,,"((27.478531575693474, 40.530405580066144),)"
355,Karabiga Harbour,,"((27.447502543218434, 40.530417021363974),)"
16740,,,"((-0.28907271857888517, 39.39550980459899),)"
16741,,,"((-0.2636473975467921, 39.39763876609504),)"
16756,B,,"((-4.359581253502862, 36.67383304797113),)"
16757,C,,"((-4.359737063184686, 36.69065359979868),)"
16758,A,,"((-4.384669542778283, 36.6904477821663),)"
381,Yangpu Gang,,"((109.2170067386196, 19.725760496221483),)"
16768,B,,"((1.4638403803110123, 38.87698934879154),)"
16775,,,"((-5.64993573414238, 43.61042789183557),)"
16776,,,"((-5.9697898043434705, 43.606175878085196),)"
393,,,"((-71.51351346304415, -31.87939176801592),)"
391,,,"((-70.81458663455862, -26.842098673805594),)"
395,COQUIMBO,14570.0,"((-71.32753805158285, -29.947662949562073),)"
408,,,"((136.9746715035114, 34.71380654722452),)"
409,,,"((136.97576184839204, 34.69948430545628),)"
16807,,,"((-78.78413542639464, 1.8947434611618519),)"
16816,Pacific Anchorage,,"((-79.48532283598026, 8.873569183051586),)"
16817,,,"((-87.56415817346965, 13.187553696334362),)"
436,Port of Kandla,,"((69.60841095540673, 22.4702970078215),)"
16820,CP14-ALFA,,"((-71.99583631474525, 12.288342621177435),)"
449,,,"((137.0053700839688, 34.579400382936),)"
450,Section 5,,"((133.1405486469157, 34.38307458534837),)"
451,Section 6,,"((133.0986831286665, 34.38892263919115),)"
471,Khalifa Port,,"((54.64264038832153, 24.864616147242486),)"
485,Port Arkhangel'sk,,"((40.11565670542299, 64.92936103139073),)"
489,Water Area of Maritime Port Kavkaz,,"((36.58634045859799, 45.025739441625774),)"
16874,,,"((9.921335577964783, 37.28059306740761),)"
16875,,,"((9.921309761703014, 37.280612429603934),)"
